omega_tau,mean_K_3,std_error,constant_error
0.0,1.0,0.0,0.003162277660168379
0.0062894747819615,0.9999118181818182,0.006162437323923303,0.003162277660168379
0.012578949563923,0.9997018181818181,0.0105011375062135,0.003162277660168379
0.0188684243458846,0.9993004545454546,0.011928361021931533,0.003162277660168379
0.0251578991278461,0.9987368181818183,0.014129170006955996,0.003162277660168379
0.0314473739098077,0.9979936363636362,0.016012517183119256,0.003162277660168379
0.0377368486917692,0.9972554545454545,0.014897250255756098,0.003162277660168379
0.0440263234737308,0.9961140909090908,0.017411275462627326,0.003162277660168379
0.0503157982556923,0.9948781818181817,0.0212579726405596,0.003162277660168379
0.0566052730376539,0.9935790909090909,0.019619358429506215,0.003162277660168379
0.0628947478196154,0.9920872727272727,0.0241428725623659,0.003162277660168379
0.069184222601577,0.9905045454545455,0.021740502963865413,0.003162277660168379
0.0754736973835385,0.9884554545454546,0.02507975964026164,0.003162277660168379
0.0817631721655001,0.9865590909090911,0.025453704010921865,0.003162277660168379
0.0880526469474616,0.9846990909090909,0.025341053143895263,0.003162277660168379
0.0943421217294232,0.9822081818181817,0.02524027900041463,0.003162277660168379
0.1006315965113847,0.9800677272727273,0.0271883007597697,0.003162277660168379
0.1069210712933463,0.977365,0.027728775053712146,0.003162277660168379
0.1132105460753078,0.9746236363636364,0.0277753795153234,0.003162277660168379
0.1195000208572694,0.9713804545454547,0.027612138439282157,0.003162277660168379
0.1257894956392309,0.968614090909091,0.033721005499856134,0.003162277660168379
0.1320789704211925,0.9652372727272728,0.031343195016094665,0.003162277660168379
0.138368445203154,0.9621490909090908,0.03341674670732309,0.003162277660168379
0.1446579199851156,0.9583554545454547,0.03378569578582367,0.003162277660168379
0.1509473947670771,0.9549104545454546,0.036343124083321694,0.003162277660168379
0.1572368695490386,0.9509422727272725,0.033194396619339914,0.003162277660168379
0.1635263443310002,0.9469627272727273,0.033079138694529005,0.003162277660168379
0.1698158191129617,0.9427281818181817,0.03850348347284014,0.003162277660168379
0.1761052938949233,0.9383013636363638,0.04134268711843897,0.003162277660168379
0.1823947686768848,0.9339881818181817,0.03914531886032615,0.003162277660168379
0.1886842434588464,0.9300113636363637,0.03492064467559569,0.003162277660168379
0.1949737182408079,0.9248154545454547,0.03717181348938107,0.003162277660168379
0.2012631930227695,0.9204118181818184,0.036639261658182216,0.003162277660168379
0.207552667804731,0.9151031818181817,0.040470671464454086,0.003162277660168379
0.2138421425866926,0.9095740909090909,0.03792606746398499,0.003162277660168379
0.2201316173686541,0.9049272727272726,0.038864263139750395,0.003162277660168379
0.2264210921506157,0.8992059090909094,0.0370838631500454,0.003162277660168379
0.2327105669325772,0.893689090909091,0.0406124553640777,0.003162277660168379
0.2390000417145388,0.8879318181818182,0.04264542700170189,0.003162277660168379
0.2452895164965003,0.8824040909090908,0.0396134365716173,0.003162277660168379
0.2515789912784619,0.8765577272727273,0.04647884332378893,0.003162277660168379
0.2578684660604234,0.869895,0.04169413834637398,0.003162277660168379
0.264157940842385,0.8636836363636363,0.045560864684199676,0.003162277660168379
0.2704474156243465,0.857816363636364,0.03831432267134428,0.003162277660168379
0.2767368904063081,0.8505109090909092,0.04417578948224043,0.003162277660168379
0.2830263651882696,0.8442277272727273,0.04459859367218315,0.003162277660168379
0.2893158399702312,0.8371436363636365,0.04621453126227059,0.003162277660168379
0.2956053147521927,0.8306286363636364,0.04672804395759203,0.003162277660168379
0.3018947895341543,0.8234386363636363,0.042463819593950576,0.003162277660168379
0.3081842643161158,0.8160231818181818,0.04947100745013592,0.003162277660168379
0.3144737390980773,0.8082377272727274,0.047804288509369026,0.003162277660168379
0.3207632138800389,0.8010031818181819,0.044135054509044196,0.003162277660168379
0.3270526886620004,0.79326,0.044481602050056676,0.003162277660168379
0.333342163443962,0.785620909090909,0.047989765613443675,0.003162277660168379
0.3396316382259235,0.7779749999999998,0.05283274149286772,0.003162277660168379
0.3459211130078851,0.7699231818181818,0.04915381283127947,0.003162277660168379
0.3522105877898466,0.7618995454545453,0.05345191791282727,0.003162277660168379
0.3585000625718082,0.7530881818181818,0.05189677760512604,0.003162277660168379
